asciiname,population,location
Saharanpur,484873,"https://www.google.com/maps/?q=29.9679,77.54522"
Gulbarga,483615,"https://www.google.com/maps/?q=17.33583,76.83757"
Bhatpara,483129,"https://www.google.com/maps/?q=22.86643,88.40113"
Jammu,465567,"https://www.google.com/maps/?q=32.73569,74.86911"
Kurnool,460184,"https://www.google.com/maps/?q=15.82887,78.03602"
Ujjain,457346,"https://www.google.com/maps/?q=23.18239,75.77643"
Ramgundam,452261,"https://www.google.com/maps/?q=18.80084,79.45206"
Shyamnagar,441956,"https://www.google.com/maps/?q=22.83333,88.36667"
Nangi,440894,"https://www.google.com/maps/?q=22.50833,88.21528"
Kozhikode,439922,"https://www.google.com/maps/?q=11.24802,75.7804"
Malegaon,435362,"https://www.google.com/maps/?q=20.54966,74.53462"
Davangere,435128,"https://www.google.com/maps/?q=14.46693,75.92694"
Jalgaon,429298,"https://www.google.com/maps/?q=21.00292,75.56602"
Akola,428857,"https://www.google.com/maps/?q=20.70957,76.9981"
Belgaum,428720,"https://www.google.com/maps/?q=15.85212,74.50447"
Gaya,423692,"https://www.google.com/maps/?q=24.79686,85.00385"
Udaipur,422784,"https://www.google.com/maps/?q=24.58584,73.71346"
Korba,419146,"https://www.google.com/maps/?q=22.3458,82.69633"
Bokaro,418533,"https://www.google.com/maps/?q=23.78707,85.95644"
Mangalore,417387,"https://www.google.com/maps/?q=12.91723,74.85603"
Jhansi,412927,"https://www.google.com/maps/?q=25.45887,78.57994"
Thoothukudi,410760,"https://www.google.com/maps/?q=8.76735,78.13425"
Nellore,404158,"https://www.google.com/maps/?q=14.44992,79.98697"
Tiruppur,397521,"https://www.google.com/maps/?q=11.11541,77.35456"
Kollam,394163,"https://www.google.com/maps/?q=8.88113,76.58469"
Panihati,378705,"https://www.google.com/maps/?q=22.69089,88.37404"
Ahmadnagar,367140,"https://www.google.com/maps/?q=19.09457,74.73843"
Dhulia,366980,"https://www.google.com/maps/?q=20.9013,74.77737"
Bhagalpur,361548,"https://www.google.com/maps/?q=25.24446,86.97183"
Punasa,350000,"https://www.google.com/maps/?q=22.23507,76.39335"
Muzaffarnagar,349706,"https://www.google.com/maps/?q=29.47091,77.70332"
Latur,348967,"https://www.google.com/maps/?q=18.39721,76.56784"
Kukatpalli,341709,"https://www.google.com/maps/?q=17.48486,78.41376"
Ambattur,341049,"https://www.google.com/maps/?q=13.09818,80.16152"
Bellary,336681,"https://www.google.com/maps/?q=15.14205,76.92398"
Muzaffarpur,333200,"https://www.google.com/maps/?q=26.12259,85.39055"
Kamarhati,332965,"https://www.google.com/maps/?q=22.67111,88.37472"
Mathura,330511,"https://www.google.com/maps/?q=27.5035,77.67215"
Patiala,329224,"https://www.google.com/maps/?q=30.33625,76.3922"
Chanda,328351,"https://www.google.com/maps/?q=19.95076,79.29523"
Bhilwara,326431,"https://www.google.com/maps/?q=25.34707,74.64081"
Trichur,325110,"https://www.google.com/maps/?q=10.51667,76.21667"
Brahmapur,324726,"https://www.google.com/maps/?q=19.31151,84.7929"
Shahjanpur,320434,"https://www.google.com/maps/?q=27.88165,79.90918"
Shimoga,319550,"https://www.google.com/maps/?q=13.93157,75.56791"
New Delhi,317797,"https://www.google.com/maps/?q=28.63576,77.22445"
Rohtak,317245,"https://www.google.com/maps/?q=28.89447,76.58917"
Tumkur,307359,"https://www.google.com/maps/?q=13.34136,77.1022"
Firozabad,306409,"https://www.google.com/maps/?q=27.15092,78.39781"
Nizamabad,305438,"https://www.google.com/maps/?q=18.67154,78.0988"
Kulti,305405,"https://www.google.com/maps/?q=23.73166,86.84372"
Rajahmundry,304804,"https://www.google.com/maps/?q=17.00517,81.77784"
Barddhaman,301725,"https://www.google.com/maps/?q=23.25572,87.85691"
Barasat,298127,"https://www.google.com/maps/?q=22.72154,88.48198"
Bali,296973,"https://www.google.com/maps/?q=22.64859,88.34115"
Hisar,296436,"https://www.google.com/maps/?q=29.15394,75.72294"
Rampur,296418,"https://www.google.com/maps/?q=28.81014,79.02699"
Noida,293908,"https://www.google.com/maps/?q=28.58,77.33"
Greater Noida,293908,"https://www.google.com/maps/?q=28.49615,77.53601"
Kakinada,292923,"https://www.google.com/maps/?q=16.96036,82.23809"
Panipat,292808,"https://www.google.com/maps/?q=29.38747,76.96825"
Parbhani,289629,"https://www.google.com/maps/?q=19.26855,76.77081"
Darbhanga,287150,"https://www.google.com/maps/?q=26.15216,85.89707"
Alwar,283228,"https://www.google.com/maps/?q=27.56246,76.625"
Bilaspur,282705,"https://www.google.com/maps/?q=22.08005,82.15543"
Ichalkaranji,274383,"https://www.google.com/maps/?q=16.69117,74.46054"
Bijapur,271064,"https://www.google.com/maps/?q=16.82442,75.71537"
Aizawl,265331,"https://www.google.com/maps/?q=23.72894,92.71791"
Jalna,262034,"https://www.google.com/maps/?q=19.84102,75.88636"
Lal Bahadur Nagar,261987,"https://www.google.com/maps/?q=17.34769,78.55757"
Dewas,261218,"https://www.google.com/maps/?q=22.96585,76.05526"
Baranagar,260072,"https://www.google.com/maps/?q=22.64132,88.37727"
Gajuwaka,258944,"https://www.google.com/maps/?q=17.7,83.21667"
Satna,257778,"https://www.google.com/maps/?q=24.57726,80.82719"
Etawah,257448,"https://www.google.com/maps/?q=26.77615,79.02133"
Durg,255283,"https://www.google.com/maps/?q=21.19147,81.27619"
Naihati,253221,"https://www.google.com/maps/?q=22.89396,88.41521"
Tirupati,250821,"https://www.google.com/maps/?q=13.63551,79.41989"
Sonipat,250521,"https://www.google.com/maps/?q=28.99478,77.01937"
Avadi,250044,"https://www.google.com/maps/?q=13.1147,80.10981"
Tiruvottiyur,248059,"https://www.google.com/maps/?q=13.15823,80.30181"
Saugor,247333,"https://www.google.com/maps/?q=23.83877,78.73874"
Mau,246050,"https://www.google.com/maps/?q=25.94167,83.56111"
Bihar Sharif,244230,"https://www.google.com/maps/?q=25.20084,85.52389"
Hapur,242920,"https://www.google.com/maps/?q=28.72985,77.78068"
Bathinda,242800,"https://www.google.com/maps/?q=30.20747,74.93893"
Farrukhabad,241152,"https://www.google.com/maps/?q=27.39134,79.5793"
Anantapur,240442,"https://www.google.com/maps/?q=14.67784,77.60813"
Barasat,237783,"https://www.google.com/maps/?q=22.22516,88.45086"
Ratlam,236843,"https://www.google.com/maps/?q=23.33033,75.04032"
Ramagundam,235000,"https://www.google.com/maps/?q=18.755,79.474"
Ganganagar,231838,"https://www.google.com/maps/?q=29.92009,73.87496"
Bharatpur,229384,"https://www.google.com/maps/?q=27.21731,77.49009"
Karimnagar,228745,"https://www.google.com/maps/?q=18.43915,79.12856"
Puducherry,227411,"https://www.google.com/maps/?q=11.93381,79.82979"
Shrirampur,226317,"https://www.google.com/maps/?q=22.75278,88.34222"
Raichur,225962,"https://www.google.com/maps/?q=16.20546,77.35567"
Quthbullapur,225816,"https://www.google.com/maps/?q=17.50107,78.45818"
Karnal,225049,"https://www.google.com/maps/?q=29.69197,76.98448"
Arrah,223676,"https://www.google.com/maps/?q=25.55629,84.66335"
Imphal,223523,"https://www.google.com/maps/?q=24.80805,93.9442"
Gosaba,222764,"https://www.google.com/maps/?q=22.16547,88.8007"
Mirzapur,220029,"https://www.google.com/maps/?q=25.1449,82.56534"
Kharagpur,219665,"https://www.google.com/maps/?q=22.33971,87.32501"
Dhanbad,219636,"https://www.google.com/maps/?q=23.80199,86.44324"
Tanjore,219571,"https://www.google.com/maps/?q=10.78523,79.13909"
Amarnath,217780,"https://www.google.com/maps/?q=19.2,73.16667"
Nagercoil,213858,"https://www.google.com/maps/?q=8.17899,77.43227"
Pali,210103,"https://www.google.com/maps/?q=25.77276,73.32335"
Yamunanagar,208931,"https://www.google.com/maps/?q=30.12796,77.28371"
Rewa,208461,"https://www.google.com/maps/?q=24.53256,81.29234"
Secunderabad,204182,"https://www.google.com/maps/?q=17.50427,78.54263"
Bidar,204071,"https://www.google.com/maps/?q=17.91331,77.53011"
Agartala,203264,"https://www.google.com/maps/?q=23.83605,91.27939"
Monghyr,203163,"https://www.google.com/maps/?q=25.37459,86.47455"
Burhanpur,202695,"https://www.google.com/maps/?q=21.30868,76.23026"
Nadiad,202067,"https://www.google.com/maps/?q=22.69385,72.86157"
Chapra,201597,"https://www.google.com/maps/?q=25.78031,84.74709"
Dindigul,200797,"https://www.google.com/maps/?q=10.36896,77.98036"
Panchkula,200000,"https://www.google.com/maps/?q=30.69461,76.8504"
Sikar,199932,"https://www.google.com/maps/?q=27.61206,75.13996"
Bulandshahr,198612,"https://www.google.com/maps/?q=28.40392,77.85773"
Purnia,198453,"https://www.google.com/maps/?q=25.77895,87.47422"
Hospet,197846,"https://www.google.com/maps/?q=15.26954,76.3871"
Gurgaon,197340,"https://www.google.com/maps/?q=28.4601,77.02635"
Sambhal,196109,"https://www.google.com/maps/?q=28.58498,78.56959"
Gandhinagar,195985,"https://www.google.com/maps/?q=23.21667,72.68333"
Murwara,195856,"https://www.google.com/maps/?q=23.83776,80.39405"
Nangloi Jat,194363,"https://www.google.com/maps/?q=28.67957,77.06799"
Machilipatnam,192827,"https://www.google.com/maps/?q=16.18747,81.13888"
Katihar,192555,"https://www.google.com/maps/?q=25.53852,87.57044"
Bhiwani,190855,"https://www.google.com/maps/?q=28.79304,76.13968"
Kultali,187942,"https://www.google.com/maps/?q=21.9,88.4"
Raebareli,186433,"https://www.google.com/maps/?q=26.2309,81.23315"
Haridwar,186079,"https://www.google.com/maps/?q=29.94791,78.16025"
Singrauli,185580,"https://www.google.com/maps/?q=24.19973,82.67535"
Junagadh,184447,"https://www.google.com/maps/?q=21.51966,70.45981"
Sujangarh,183808,"https://www.google.com/maps/?q=27.7,74.46667"
Ellore,183387,"https://www.google.com/maps/?q=16.71311,81.10437"
Bhusaval,183001,"https://www.google.com/maps/?q=21.04365,75.78506"
Khandwa,182841,"https://www.google.com/maps/?q=21.82427,76.35086"
Bahraigh,182218,"https://www.google.com/maps/?q=27.57429,81.59474"
Sirsa,181639,"https://www.google.com/maps/?q=29.53489,75.02898"
Chandannagar,180623,"https://www.google.com/maps/?q=22.86225,88.36796"
Baharampur,180547,"https://www.google.com/maps/?q=24.10473,88.25155"
Surendranagar,179628,"https://www.google.com/maps/?q=22.72706,71.64856"
Vizianagaram,179358,"https://www.google.com/maps/?q=18.11692,83.41148"
Proddatur,177797,"https://www.google.com/maps/?q=14.7502,78.54813"
Vellore,177081,"https://www.google.com/maps/?q=12.9184,79.13255"
Hugli,177005,"https://www.google.com/maps/?q=22.90877,88.39674"
Alleppey,176783,"https://www.google.com/maps/?q=9.49004,76.3264"
Amroha,176253,"https://www.google.com/maps/?q=28.90314,78.46984"
Tambaram,174787,"https://www.google.com/maps/?q=12.9246,80.12707"
Pathankot,174306,"https://www.google.com/maps/?q=32.27484,75.65287"
Bhind,174035,"https://www.google.com/maps/?q=26.56671,78.78728"
Shimla,173503,"https://www.google.com/maps/?q=31.10442,77.16662"
Ongole,172872,"https://www.google.com/maps/?q=15.50357,80.04454"
Gadag-Betageri,172813,"https://www.google.com/maps/?q=15.4167,75.6167"
Puri,170841,"https://www.google.com/maps/?q=19.79825,85.82494"
Haldia,170695,"https://www.google.com/maps/?q=22.06046,88.10975"
Khammam,170503,"https://www.google.com/maps/?q=17.24767,80.14368"
Raiganj,170252,"https://www.google.com/maps/?q=25.61281,88.12449"
Ingraj Bazar,170039,"https://www.google.com/maps/?q=25.00447,88.14573"
Jaunpur,169572,"https://www.google.com/maps/?q=25.75356,82.68689"
Fatehpur,166480,"https://www.google.com/maps/?q=25.92774,80.81266"
Gandhidham,166388,"https://www.google.com/maps/?q=23.08333,70.13333"
Nandyal,165337,"https://www.google.com/maps/?q=15.47799,78.4836"
